	NC_008459	NC_007337
NC_001735.4_1	0.95	0.96
NC_001735.4_10	0.97	0.90
NC_001735.4_11	0.74	0.81
NC_001735.4_12	0.96	0.93
NC_001735.4_13	0.00	0.14
NC_001735.4_14	0.00	0.00
NC_001735.4_15	0.52	0.51
NC_001735.4_16	0.00	0.00
NC_001735.4_17	0.00	0.33
NC_001735.4_18	0.08	0.00
NC_001735.4_19	0.00	0.12
NC_001735.4_2	0.97	1.00
NC_001735.4_22	0.98	1.00
NC_001735.4_24	0.99	0.99
NC_001735.4_27	0.98	0.99
NC_001735.4_28	0.99	0.99
NC_001735.4_29	0.90	0.99
NC_001735.4_32	0.99	0.99
NC_001735.4_33	0.75	1.00
NC_001735.4_36	1.00	1.00
NC_001735.4_40	0.00	0.07
NC_001735.4_41	0.19	0.19
NC_001735.4_42	0.00	0.00
NC_001735.4_43	0.10	0.11
NC_001735.4_44	0.00	0.04
NC_001735.4_45	0.00	0.04
NC_001735.4_46	0.00	0.03
NC_001735.4_48	0.98	1.00
NC_001735.4_5	0.98	0.92
NC_001735.4_52	0.88	1.00
NC_001735.4_53	0.95	1.00
NC_001735.4_54	0.92	1.00
NC_001735.4_56	0.99	1.00
NC_001735.4_7	0.76	0.81
NC_001735.4_8	0.00	0.00
NC_001735.4_9	0.59	0.73
NC_005088.1_10	0.00	0.00
NC_005088.1_11	0.00	0.00
NC_005088.1_12	0.00	0.00
NC_005088.1_13	0.00	0.09
NC_005088.1_15	0.00	0.75
NC_005088.1_16	0.00	0.53
NC_005088.1_17	0.97	1.00
NC_005088.1_2	0.00	0.28
NC_005088.1_22	0.98	1.00
NC_005088.1_26	0.97	1.00
NC_005088.1_27	0.91	1.00
NC_005088.1_3	0.00	0.00
NC_005088.1_31	0.99	1.00
NC_005088.1_33	0.71	0.71
NC_005088.1_34	0.00	0.03
NC_005088.1_37	0.11	0.11
NC_005088.1_38	0.00	0.86
NC_005088.1_4	0.00	0.00
NC_005088.1_40	0.00	0.86
NC_005088.1_41	0.00	0.00
NC_005088.1_42	0.00	0.94
NC_005088.1_44	0.00	0.89
NC_005088.1_45	0.00	0.00
NC_005088.1_46	0.00	0.00
NC_005088.1_47	0.00	0.00
NC_005088.1_48	0.12	0.11
NC_005088.1_49	0.00	0.08
NC_005088.1_5	0.00	0.00
NC_005088.1_50	0.00	0.10
NC_005088.1_51	0.16	0.15
NC_005088.1_55	0.98	1.00
NC_005088.1_6	0.12	0.12
NC_005088.1_60	1.00	1.00
NC_005088.1_64	0.72	1.00
NC_005088.1_67	0.98	0.90
NC_005088.1_68	0.00	0.51
NC_005088.1_8	0.00	0.00
NC_005088.1_9	0.00	0.00
NC_007337.1_10	0.91	1.00
NC_007337.1_11	0.63	1.00
NC_007337.1_12	0.15	1.00
NC_007337.1_14	0.00	1.00
NC_007337.1_15	0.00	1.00
NC_007337.1_16	0.24	1.00
NC_007337.1_17	0.00	1.00
NC_007337.1_18	0.00	1.00
NC_007337.1_19	0.00	1.00
NC_007337.1_20	0.00	1.00
NC_007337.1_21	0.15	1.00
NC_007337.1_22	0.00	1.00
NC_007337.1_23	0.00	1.00
NC_007337.1_24	0.00	1.00
NC_007337.1_25	0.00	1.00
NC_007337.1_26	0.00	1.00
NC_007337.1_27	0.00	1.00
NC_007337.1_28	0.05	1.00
NC_007337.1_29	0.00	1.00
NC_007337.1_30	0.00	1.00
NC_007337.1_31	0.00	1.00
NC_007337.1_32	0.00	1.00
NC_007337.1_33	0.00	1.00
NC_007337.1_34	0.00	1.00
NC_007337.1_35	0.00	1.00
NC_007337.1_36	0.00	1.00
NC_007337.1_37	0.00	1.00
NC_007337.1_39	0.00	1.00
NC_007337.1_4	0.97	1.00
NC_007337.1_40	0.00	1.00
NC_007337.1_41	0.00	1.00
NC_007337.1_42	0.00	1.00
NC_007337.1_43	0.00	1.00
NC_007337.1_44	0.00	1.00
NC_007337.1_45	0.05	1.00
NC_007337.1_46	0.00	1.00
NC_007337.1_47	0.03	1.00
NC_007337.1_48	0.00	1.00
NC_007337.1_49	0.00	1.00
NC_007337.1_50	0.07	1.00
NC_007337.1_51	0.00	1.00
NC_007337.1_52	0.05	1.00
NC_007337.1_54	0.00	1.00
NC_007337.1_55	0.15	1.00
NC_007337.1_56	0.00	1.00
NC_007337.1_57	0.00	1.00
NC_007337.1_58	0.00	1.00
NC_007337.1_59	0.00	1.00
NC_007337.1_6	0.87	1.00
NC_007337.1_60	0.00	1.00
NC_007337.1_63	1.00	1.00
NC_007337.1_7	0.00	1.00
NC_007337.1_74	1.00	1.00
NC_007337.1_78	0.99	1.00
NC_007337.1_79	0.97	1.00
NC_007337.1_8	0.74	1.00
NC_007337.1_80	0.99	1.00
NC_007337.1_81	0.61	1.00
NC_007337.1_85	0.98	1.00
NC_007337.1_9	0.54	1.00
NC_008459.1_10	1.00	0.79
NC_008459.1_12	1.00	0.00
NC_008459.1_13	1.00	0.00
NC_008459.1_14	1.00	0.36
NC_008459.1_19	1.00	1.00
NC_008459.1_25	1.00	0.91
NC_008459.1_3	1.00	0.87
NC_008459.1_35	1.00	0.58
NC_008459.1_37	1.00	0.99
NC_008459.1_40	1.00	0.89
NC_008459.1_7	1.00	0.70
NC_008459.1_8	1.00	0.52
