"","Annotation","No. isolates","NC_001735.gbk","NC_005088.gbk","NC_007337.gbk","NC_008459.gbk"
"1","hypothetical protein",4,"R751p01.p01","pUO1_56.p01","REUT_RS32695.p01","ST520_p02.p01"
"5","hypothetical protein",4,"R751p27.p01","pUO1_11.p01","REUT_RS32995.p01","ST520_p32.p01"
"12","hypothetical protein",4,"R751p59.p01","pUO1_46.p01","REUT_RS33105.p01","ST520_p37.p01"
"27","hypothetical protein",3,"R751p13.p01","pUO1_67.p01","","ST520_p06.p01"
"28","hypothetical protein",3,"R751p64.p01","pUO1_51.p01","","ST520_p42.p01"
"34","hypothetical protein",3,"R751p67.p01","pUO1_53.p01","REUT_RS33135.p01",""
"49","hypothetical protein",2,"R751p15.p01.CDS","pUO1_69.p01","",""
"67","hypothetical protein",1,"","","REUT_RS32905.p01",""
"69","hypothetical protein",1,"","","REUT_RS32915.p01",""
"70","hypothetical protein",1,"","","REUT_RS32920.p01",""
"81","hypothetical protein",1,"","","REUT_RS33095.p01",""
"87","hypothetical protein XF1597",1,"","","","ST520_p33.p01"
"88","hypothetical protein XF1596",1,"","","","ST520_p34.p01"
"98","hypothetical protein",1,"","","REUT_RS32770.p01",""
"106","hypothetical protein",1,"R751p22.p01","","",""
"107","hypothetical protein",1,"R751p24.p01.CDS","","",""
"110","hypothetical protein",1,"R751p48.p01","","",""
"112","hypothetical protein",1,"R751p50.p01","","",""
"116","hypothetical protein",1,"NP_044262.1","","",""
"118","hypothetical protein",1,"R751p60.p01","","",""
"120","hypothetical protein",1,"","pUO1_03.p01","",""
"121","hypothetical protein",1,"","pUO1_05.p01","",""
"122","hypothetical protein",1,"","pUO1_06.p01","",""
"124","hypothetical protein",1,"","pUO1_08.p01","",""
"125","hypothetical protein",1,"","pUO1_09.p01","",""
"135","hypothetical protein",1,"","pUO1_39.p01","",""
"136","hypothetical protein",1,"","pUO1_40.p01","",""
"137","hypothetical protein",1,"","pUO1_41.p01","",""
"138","hypothetical protein",1,"","pUO1_42.p01","",""
"139","hypothetical protein",1,"","pUO1_43.p01","",""
"147","hypothetical protein",1,"","","REUT_RS32745.p01",""
"148","hypothetical protein",1,"","","REUT_RS32750.p01",""
"154","hypothetical protein",1,"","","REUT_RS32785.p01",""
"155","hypothetical protein",1,"","","REUT_RS32790.p01",""
"156","hypothetical protein",1,"","","REUT_RS32795.p01",""
